Number_of_Cores,Number of Processes,Average Process Length,Algorithm,Number of Starvations
2,8,64,4,0
2,8,128,0,0
2,8,128,1,0
2,8,128,2,0
2,8,128,3,0
2,8,128,4,0
2,8,256,0,0
2,8,256,1,0
2,8,256,2,0
2,8,256,3,0
2,8,256,4,0
2,8,512,0,0
2,8,512,1,0
2,8,512,2,0
2,8,512,3,0
2,8,512,4,0
2,16,4,0,3
2,16,4,1,1
2,16,4,2,2
2,16,4,3,1
2,16,4,4,0
2,16,8,0,6
2,16,8,1,1
2,16,8,2,2
2,16,8,3,1
2,16,8,4,1
2,16,16,0,0
2,16,16,1,2
2,16,16,2,0
2,16,16,3,2
2,16,16,4,0
2,16,32,0,1
2,16,32,1,1
2,16,32,2,0
2,16,32,3,0
2,16,32,4,0
2,16,64,0,0
2,16,64,1,0
2,16,64,2,0
2,16,64,3,0
2,16,64,4,0
2,16,128,0,0
2,16,128,1,0
2,16,128,2,0
2,16,128,3,0
2,16,128,4,0
2,16,256,0,0
2,16,256,1,0
2,16,256,2,0
2,16,256,3,0
2,16,256,4,0
2,16,512,0,0
2,16,512,1,0
2,16,512,2,0
2,16,512,3,0
2,16,512,4,0
2,32,4,0,4
2,32,4,1,2
2,32,4,2,2
2,32,4,3,2
2,32,4,4,4
2,32,8,0,4
2,32,8,1,5
2,32,8,2,4
2,32,8,3,4
2,32,8,4,3
2,32,16,0,2
2,32,16,1,3
2,32,16,2,3
2,32,16,3,2
2,32,16,4,4
2,32,32,0,1
2,32,32,1,0
2,32,32,2,0
2,32,32,3,2
2,32,32,4,0
2,32,64,0,1
2,32,64,1,0
2,32,64,2,0
2,32,64,3,1
2,32,64,4,0
2,32,128,0,0
2,32,128,1,0
2,32,128,2,0
2,32,128,3,0
2,32,128,4,0
2,32,256,0,0
2,32,256,1,0
2,32,256,2,0
2,32,256,3,0
2,32,256,4,0
2,32,512,0,0
2,32,512,1,0
2,32,512,2,0
2,32,512,3,0
2,32,512,4,0
2,64,4,0,7
2,64,4,1,5
2,64,4,2,11
2,64,4,3,8
2,64,4,4,12
2,64,8,0,5
2,64,8,1,8
2,64,8,2,8
2,64,8,3,8
2,64,8,4,11
2,64,16,0,5
2,64,16,1,6
2,64,16,2,4
2,64,16,3,7
2,64,16,4,7
2,64,32,0,3
2,64,32,1,3
2,64,32,2,4
2,64,32,3,2
2,64,32,4,4
2,64,64,0,1
2,64,64,1,0
2,64,64,2,0
2,64,64,3,0
2,64,64,4,0
2,64,128,0,0
2,64,128,1,0
2,64,128,2,0
2,64,128,3,0
2,64,128,4,0
2,64,256,0,0
2,64,256,1,0
2,64,256,2,0
2,64,256,3,0
2,64,256,4,0
2,64,512,0,0
2,64,512,1,0
2,64,512,2,0
2,64,512,3,0
2,64,512,4,0
2,128,4,0,13
2,128,4,1,16
2,128,4,2,17
2,128,4,3,18
2,128,4,4,16
2,128,8,0,14
2,128,8,1,12
2,128,8,2,17
2,128,8,3,17
2,128,8,4,23
2,128,16,0,13
2,128,16,1,5
2,128,16,2,13
2,128,16,3,16
2,128,16,4,10
2,128,32,0,6
2,128,32,1,4
2,128,32,2,7
2,128,32,3,3
2,128,32,4,1
2,128,64,0,1
2,128,64,1,0
2,128,64,2,2
2,128,64,3,2
2,128,64,4,2
2,128,128,0,1
2,128,128,1,3
2,128,128,2,1
2,128,128,3,0
2,128,128,4,0
2,128,256,0,0
2,128,256,1,0
2,128,256,2,3
2,128,256,3,0
2,128,256,4,0
2,128,512,0,23
2,128,512,1,34
2,128,512,2,24
2,128,512,3,9
2,128,512,4,23
2,256,4,0,29
2,256,4,1,28
2,256,4,2,34
2,256,4,3,24
2,256,4,4,34
2,256,8,0,36
2,256,8,1,26
2,256,8,2,32
2,256,8,3,26
2,256,8,4,38
2,256,16,0,14
2,256,16,1,20
2,256,16,2,22
2,256,16,3,20
2,256,16,4,21
2,256,32,0,11
2,256,32,1,9
2,256,32,2,17
2,256,32,3,10
2,256,32,4,10
2,256,64,0,4
2,256,64,1,2
2,256,64,2,5
2,256,64,3,0
2,256,64,4,3
2,256,128,0,2
2,256,128,1,2
2,256,128,2,0
2,256,128,3,0
2,256,128,4,0
2,256,256,0,45
2,256,256,1,106
2,256,256,2,32
2,256,256,3,28
2,256,256,4,54
2,256,512,0,140
2,256,512,1,249
2,256,512,2,129
2,256,512,3,123
2,256,512,4,198
2,512,4,0,66
2,512,4,1,52
2,512,4,2,51
2,512,4,3,58
2,512,4,4,44
2,512,8,0,65
2,512,8,1,68
2,512,8,2,86
2,512,8,3,50
2,512,8,4,60
2,512,16,0,60
2,512,16,1,46
2,512,16,2,46
2,512,16,3,39
2,512,16,4,56
2,512,32,0,27
2,512,32,1,25
2,512,32,2,26
2,512,32,3,19
2,512,32,4,27
2,512,64,0,11
2,512,64,1,4
2,512,64,2,5
2,512,64,3,1
2,512,64,4,6
2,512,128,0,79
2,512,128,1,166
2,512,128,2,74
2,512,128,3,66
2,512,128,4,72
2,512,256,0,283
2,512,256,1,491
2,512,256,2,267
2,512,256,3,246
2,512,256,4,397
2,512,512,0,393
2,512,512,1,510
2,512,512,2,380
2,512,512,3,368
2,512,512,4,503
2,1024,4,0,128
2,1024,4,1,125
2,1024,4,2,120
2,1024,4,3,95
2,1024,4,4,100
2,1024,8,0,151
2,1024,8,1,138
2,1024,8,2,126
2,1024,8,3,103
2,1024,8,4,117
2,1024,16,0,93
2,1024,16,1,94
2,1024,16,2,89
2,1024,16,3,86
2,1024,16,4,98
2,1024,32,0,52
2,1024,32,1,22
2,1024,32,2,41
2,1024,32,3,40
2,1024,32,4,45
2,1024,64,0,203
2,1024,64,1,410
2,1024,64,2,19322,1024,64,3,130
2,1024,64,4,199
2,1024,128,0,564
2,1024,128,1,997
2,1024,128,2,54922,1024,128,3,514
2,1024,128,4,845
2,1024,256,0,79422,1024,256,1,1024
2,1024,256,2,76822,1024,256,3,742
2,1024,256,4,1010
2,1024,512,0,90622,1024,512,1,1023
2,1024,512,2,88222,1024,512,3,872
2,1024,512,4,1017
2,2048,4,0,217
2,2048,4,1,225
2,2048,4,2,239
2,2048,4,3,232
2,2048,4,4,231
2,2048,8,0,274
2,2048,8,1,272
2,2048,8,2,274
2,2048,8,3,234
2,2048,8,4,239
2,2048,16,0,200
2,2048,16,1,186
2,2048,16,2,189
2,2048,16,3,167
2,2048,16,4,185
