Number_of_Cores,Number of Processes,Average Process Length,Algorithm,Number of Starvations
2,32,64,1,0
2,32,64,2,0
2,32,64,3,0
2,32,64,4,0
2,32,128,0,0
2,32,128,1,0
2,32,128,2,0
2,32,128,3,0
2,32,128,4,0
2,32,256,0,0
2,32,256,1,0
2,32,256,2,0
2,32,256,3,0
2,32,256,4,0
2,32,512,0,0
2,32,512,1,0
2,32,512,2,0
2,32,512,3,0
2,32,512,4,0
2,64,4,0,4
2,64,4,1,13
2,64,4,2,8
2,64,4,3,6
2,64,4,4,8
2,64,8,0,5
2,64,8,1,8
2,64,8,2,9
2,64,8,3,6
2,64,8,4,7
2,64,16,0,7
2,64,16,1,9
2,64,16,2,8
2,64,16,3,7
2,64,16,4,7
2,64,32,0,3
2,64,32,1,2
2,64,32,2,6
2,64,32,3,2
2,64,32,4,3
2,64,64,0,0
2,64,64,1,2
2,64,64,2,0
2,64,64,3,0
2,64,64,4,1
2,64,128,0,0
2,64,128,1,0
2,64,128,2,0
2,64,128,3,0
2,64,128,4,0
2,64,256,0,0
2,64,256,1,0
2,64,256,2,0
2,64,256,3,0
2,64,256,4,0
2,64,512,0,0
2,64,512,1,0
2,64,512,2,0
2,64,512,3,0
2,64,512,4,0
2,128,4,0,14
2,128,4,1,11
2,128,4,2,9
2,128,4,3,15
2,128,4,4,10
2,128,8,0,19
2,128,8,1,19
2,128,8,2,22
2,128,8,3,16
2,128,8,4,12
2,128,16,0,11
2,128,16,1,11
2,128,16,2,11
2,128,16,3,8
2,128,16,4,10
2,128,32,0,1
2,128,32,1,6
2,128,32,2,3
2,128,32,3,8
2,128,32,4,7
2,128,64,0,4
2,128,64,1,0
2,128,64,2,4
2,128,64,3,1
2,128,64,4,0
2,128,128,0,0
2,128,128,1,0
2,128,128,2,2
2,128,128,3,0
2,128,128,4,1
2,128,256,0,0
2,128,256,1,0
2,128,256,2,0
2,128,256,3,0
2,128,256,4,0
2,128,512,0,20
2,128,512,1,52
2,128,512,2,15
2,128,512,3,12
2,128,512,4,20
2,256,4,0,25
2,256,4,1,28
2,256,4,2,27
2,256,4,3,25
2,256,4,4,35
2,256,8,0,33
2,256,8,1,37
2,256,8,2,34
2,256,8,3,30
2,256,8,4,31
2,256,16,0,25
2,256,16,1,23
2,256,16,2,28
2,256,16,3,25
2,256,16,4,26
2,256,32,0,5
2,256,32,1,6
2,256,32,2,10
2,256,32,3,7
2,256,32,4,10
2,256,64,0,4
2,256,64,1,0
2,256,64,2,2
2,256,64,3,1
2,256,64,4,0
2,256,128,0,0
2,256,128,1,0
2,256,128,2,1
2,256,128,3,0
2,256,128,4,3
2,256,256,0,45
2,256,256,1,63
2,256,256,2,43
2,256,256,3,27
2,256,256,4,42
2,256,512,0,141
2,256,512,1,254
2,256,512,2,131
2,256,512,3,117
2,256,512,4,206
2,512,4,0,57
2,512,4,1,63
2,512,4,2,52
2,512,4,3,53
2,512,4,4,62
2,512,8,0,61
2,512,8,1,63
2,512,8,2,62
2,512,8,3,82
2,512,8,4,63
2,512,16,0,55
2,512,16,1,34
2,512,16,2,48
2,512,16,3,41
2,512,16,4,46
2,512,32,0,28
2,512,32,1,17
2,512,32,2,20
2,512,32,3,12
2,512,32,4,20
2,512,64,0,14
2,512,64,1,3
2,512,64,2,8
2,512,64,3,0
2,512,64,4,8
2,512,128,0,81
2,512,128,1,190
2,512,128,2,83
2,512,128,3,57
2,512,128,4,102
2,512,256,0,278
2,512,256,1,501
2,512,256,2,266
2,512,256,3,251
2,512,256,4,410
2,512,512,0,391
2,512,512,1,509
2,512,512,2,381
2,512,512,3,368
2,512,512,4,502
2,1024,4,0,111
2,1024,4,1,118
2,1024,4,2,101
2,1024,4,3,119
2,1024,4,4,126
2,1024,8,0,145
2,1024,8,1,135
2,1024,8,2,146
2,1024,8,3,129
2,1024,8,4,130
2,1024,16,0,96
2,1024,16,1,95
2,1024,16,2,88
2,1024,16,3,85
2,1024,16,4,97
2,1024,32,0,52
2,1024,32,1,40
2,1024,32,2,60
2,1024,32,3,23
2,1024,32,4,50
2,1024,64,0,202
2,1024,64,1,395
2,1024,64,2,180
2,1024,64,3,132
2,1024,64,4,217
2,1024,128,0,583
2,1024,128,1,1002
2,1024,128,2,541
2,1024,128,3,513
2,1024,128,4,837
2,1024,256,0,796
2,1024,256,1,1021
2,1024,256,2,769
2,1024,256,3,742
2,1024,256,4,1004
2,1024,512,0,903
2,1024,512,1,1023
2,1024,512,2,886
2,1024,512,3,870
2,1024,512,4,1015
2,2048,4,0,230
2,2048,4,1,226
2,2048,4,2,228
2,2048,4,3,225
2,2048,4,4,227
2,2048,8,0,268
2,2048,8,1,252
2,2048,8,2,269
2,2048,8,3,230
2,2048,8,4,278
2,2048,16,0,188
2,2048,16,1,181
2,2048,16,2,174
2,2048,16,3,138
2,2048,16,4,173
2,2048,32,0,474
2,2048,32,1,786
2,2048,32,2,437
2,2048,32,3,349
2,2048,32,4,515
2,2048,64,0,1172
2,2048,64,1,2007
2,2048,64,2,1107
2,2048,64,3,1034
2,2048,64,4,1710
2,2048,128,0,1589
2,2048,128,1,2040
2,2048,128,2,1543
2,2048,128,3,1508
2,2048,128,4,2016
2,2048,256,0,1811
2,2048,256,1,2048
2,2048,256,2,1777
2,2048,256,3,1754
2,2048,256,4,2040
2,2048,512,0,1919
2,2048,512,1,2048
2,2048,512,2,1898
2,2048,512,3,1895
2,2048,512,4,2043

0

Number_of_Cores,Number of Processes,Average Process Length,Algorithm,Number of Starvations
4,4,4,0,1
4,4,4,1,1
4,4,4,2,0
4,4,4,3,1
4,4,4,4,1
4,4,8,0,0
4,4,8,1,1
4,4,8,2,3
4,4,8,3,0
4,4,8,4,2
4,4,16,0,0
4,4,16,1,0
4,4,16,2,1
4,4,16,3,1
4,4,16,4,0
4,4,32,0,0
4,4,32,1,0
4,4,32,2,0
4,4,32,3,0
4,4,32,4,0
4,4,64,0,0
4,4,64,1,0
4,4,64,2,0
4,4,64,3,0
4,4,64,4,0
4,4,128,0,0
4,4,128,1,0
4,4,128,2,0
4,4,128,3,0
4,4,128,4,0
4,4,256,0,0
4,4,256,1,0
4,4,256,2,0
4,4,256,3,0
4,4,256,4,0
4,4,512,0,0
4,4,512,1,0
4,4,512,2,0
4,4,512,3,0
4,4,512,4,0
4,8,4,0,0
4,8,4,1,2
4,8,4,2,2
4,8,4,3,1
4,8,4,4,0
4,8,8,0,0
4,8,8,1,1
4,8,8,2,0
4,8,8,3,0
4,8,8,4,1
4,8,16,0,0
4,8,16,1,0
4,8,16,2,0
4,8,16,3,0
4,8,16,4,1
4,8,32,0,0
4,8,32,1,0
4,8,32,2,0
4,8,32,3,0
4,8,32,4,0
4,8,64,0,0
4,8,64,1,0
4,8,64,2,0
4,8,64,3,0
4,8,64,4,0
4,8,128,0,0
4,8,128,1,0
4,8,128,2,0
4,8,128,3,0
4,8,128,4,0
4,8,256,0,0
4,8,256,1,0
4,8,256,2,0
4,8,256,3,0
4,8,256,4,0
4,8,512,0,0
4,8,512,1,0
4,8,512,2,0
4,8,512,3,0
4,8,512,4,0
4,16,4,0,5
4,16,4,1,4
4,16,4,2,0
4,16,4,3,0
4,16,4,4,0
4,16,8,0,2
4,16,8,1,2
4,16,8,2,4
4,16,8,3,2
4,16,8,4,1
4,16,16,0,2
4,16,16,1,1
4,16,16,2,0
4,16,16,3,1
4,16,16,4,3
4,16,32,0,1
4,16,32,1,0
4,16,32,2,0
4,16,32,3,1
4,16,32,4,0
4,16,64,0,0
4,16,64,1,0
4,16,64,2,0
4,16,64,3,0
4,16,64,4,0
4,16,128,0,0
4,16,128,1,0
4,16,128,2,0
4,16,128,3,0
4,16,128,4,0
4,16,256,0,0
4,16,256,1,0
4,16,256,2,0
4,16,256,3,0
4,16,256,4,0
4,16,512,0,0
4,16,512,1,0
4,16,512,2,0
4,16,512,3,0
4,16,512,4,0
4,32,4,0,0
4,32,4,1,3
4,32,4,2,2
4,32,4,3,3
4,32,4,4,1
4,32,8,0,4
4,32,8,1,4
4,32,8,2,2
4,32,8,3,2
4,32,8,4,1
4,32,16,0,1
4,32,16,1,3
4,32,16,2,1
4,32,16,3,2
4,32,16,4,1
4,32,32,0,0
4,32,32,1,2
4,32,32,2,1
4,32,32,3,1
4,32,32,4,0
4,32,64,0,0
4,32,64,1,0
4,32,64,2,0
4,32,64,3,0
4,32,64,4,0
4,32,128,0,0
4,32,128,1,0
4,32,128,2,0
4,32,128,3,0
4,32,128,4,0
4,32,256,0,0
4,32,256,1,0
4,32,256,2,0
4,32,256,3,0
4,32,256,4,0
4,32,512,0,0
4,32,512,1,0
4,32,512,2,0
4,32,512,3,0
4,32,512,4,0
4,64,4,0,7
4,64,4,1,10
4,64,4,2,6
4,64,4,3,8
4,64,4,4,5
4,64,8,0,7
4,64,8,1,8
4,64,8,2,8
4,64,8,3,5
4,64,8,4,8
4,64,16,0,5
4,64,16,1,6
4,64,16,2,6
4,64,16,3,3
4,64,16,4,5
4,64,32,0,2
4,64,32,1,1
4,64,32,2,1
4,64,32,3,2
4,64,32,4,0
4,64,64,0,0
4,64,64,1,1
4,64,64,2,0
4,64,64,3,0
4,64,64,4,0
4,64,128,0,0
4,64,128,1,0
4,64,128,2,0
4,64,128,3,0
4,64,128,4,0
4,64,256,0,0
4,64,256,1,0
4,64,256,2,0
4,64,256,3,0
4,64,256,4,0
4,64,512,0,0
4,64,512,1,0
4,64,512,2,0
4,64,512,3,0
4,64,512,4,0
4,128,4,0,13
4,128,4,1,10
4,128,4,2,11
4,128,4,3,13
4,128,4,4,6
4,128,8,0,16
4,128,8,1,12
4,128,8,2,13
4,128,8,3,14
4,128,8,4,20
4,128,16,0,10
4,128,16,1,10
4,128,16,2,13
4,128,16,3,10
4,128,16,4,10
4,128,32,0,4
4,128,32,1,3
4,128,32,2,2
